Project1;P1property1;P1path1;P1fromPage1;P1toPage1;P1instructions2;Checkbox
Project1;P1property2;P1path2;P1fromPage2;P1toPage2;P1instructions2;Checkbox
Project1;P1property3;P1path3;P1fromPage3;P1toPage3;P1instructions3;Checkbox
Project1;P1property4;P1path4;P1fromPage4;P1toPage4;P1instructions4;Checkbox
Project1;P1property4;P1path4;P1fromPage4;P1toPage4;P1instructions4;Radio
Project2;P2property1;P2path1;P2fromPage1;P2toPage1;P2instructions1;Radio
Project2;P2property2;P2path2;P2fromPage2;P2toPage2;P2instructions2;Radio
Project2;P2property3;P2path3;P2fromPage3;P2toPage3;P2instructions3;Radio
Project2;P2property3;P2path3;P2fromPage3;P2toPage3;P2instructions3;Radio
Project3;P3property1;P3path1;P3fromPage1;P3toPage1;P3instructions1;Radio
Project3;P3property2;P3path2;P3fromPage2;P3toPage2;P3instructions2;Radio
Project3;P3property2;P3path2;P3fromPage2;P3toPage2;P3instructions2;Radio
